17903 196972
43 1 0.6
1952 1 0.7
2526 1 0.8
3027 1 0.4
3303 1 0.5
4484 1 0.7
5185 1 0.7
5233 1 0.4
5628 1 0.9
5807 1 0.5
5945 1 0.4
6288 1 0.2
6295 1 0.7
6484 1 0.5
6880 1 0.4
7015 1 0.4
7113 1 0.3
7993 1 0.3
8060 1 0.7
9164 1 0.2
10496 1 0.5
10783 1 0.3
10785 1 0.6
11337 1 0.5
11503 1 0.8
11768 1 0.3
11781 1 0.9
12425 1 0.2
12599 1 0.1
12868 1 0.5
13171 1 0.5
14023 1 0.4
14080 1 0.1
14353 1 0.9
14713 1 0.4
14919 1 0.3
14995 1 0.7
15677 1 0.5
16540 1 0.5
16544 1 0.5
16704 1 0.4
16861 1 0.3
17849 1 0.2
1143 2 0.5
9868 2 0.2
3391 3 0.7
3493 3 0.3
6891 3 0.5
6953 3 0.5
12615 3 0.7
12965 3 0.3
13756 3 0.5
14010 3 0.9
14360 3 0.5
15874 3 0.6
16879 3 0.4
16899 3 0.7
1266 4 0.7
2535 5 0.6
3486 5 0.2
7553 6 0.2
4193 7 0.9
6398 7 0.5
6933 7 0.4
8000 7 0.6
8421 7 0.8
9778 7 0.4
9786 7 0.2
12630 7 0.2
15124 7 0.9
16119 7 0.5
4041 8 0.7
69 9 0.1
172 9 0.3
285 9 0.6
374 9 0.5
743 9 0.8
820 9 0.7
831 9 0.7
968 9 0.3
1442 9 0.5
1537 9 0.7
1648 9 0.7
1899 9 0.8
2029 9 0.3
2191 9 0.3
2945 9 0.3
3144 9 0.6
3652 9 0.1
3674 9 0.4
3832 9 0.3
4029 9 0.7
4265 9 0.7
4266 9 0.3
4291 9 0.7
4620 9 0.4
4852 9 0.8
4990 9 0.3
5270 9 0.7
5469 9 0.8
6242 9 0.2
6265 9 0.7
6431 9 0.1
6512 9 0.7
6521 9 0.2
6753 9 0.7
6754 9 0.7
6755 9 0.3
6934 9 0.3
7980 9 0.7
8318 9 0.2
8487 9 0.6
8828 9 0.4
9026 9 0.4
9569 9 0.8
9989 9 0.5
10263 9 0.4
10947 9 0.4
10948 9 0.6
11048 9 0.3
11150 9 0.5
11578 9 0.5
11876 9 0.2
12026 9 0.3
12048 9 0.2
12681 9 0.6
12745 9 0.5
12841 9 0.9
12957 9 0.2
13230 9 0.6
13232 9 0.6
13558 9 0.6
13587 9 0.8
13605 9 0.8
13777 9 0.6
13880 9 0.2
