10972 175573
209 1 0.9
636 1 0.7
673 1 0.3
982 1 0.2
1394 1 0.9
2162 1 0.3
2521 1 0.9
2534 1 0.4
2573 1 0.4
2896 1 0.5
3020 1 0.6
3534 1 0.6
3716 1 0.6
3964 1 0.7
4153 1 0.9
4865 1 0.6
5066 1 0.7
5256 1 0.1
5544 1 0.2
5702 1 0.3
6622 1 0.4
6986 1 0.4
8323 1 0.5
8367 1 0.3
8380 1 0.7
8433 1 0.7
8532 1 0.5
9064 1 0.9
9157 1 0.6
9364 1 0.5
9855 1 0.6
10411 1 0.9
10486 1 0.7
10958 1 0.5
664 2 0.1
1118 2 0.4
1172 2 0.4
1453 2 0.9
1630 2 0.7
2161 2 0.3
2609 2 0.1
3019 2 0.5
3185 2 0.8
3361 2 0.9
3369 2 0.7
3545 2 0.5
3633 2 0.3
4459 2 0.4
4672 2 0.2
5218 2 0.7
5543 2 0.7
5706 2 0.8
5793 2 0.8
5838 2 0.8
6055 2 0.7
6379 2 0.4
6439 2 0.4
7119 2 0.7
7695 2 0.4
8076 2 0.9
8176 2 0.2
8435 2 0.9
8675 2 0.2
9328 2 0.3
9713 2 0.1
9765 2 0.1
10050 2 0.9
10424 2 0.3
678 3 0.2
5072 3 0.8
5215 3 0.3
7118 3 0.5
7681 3 0.9
7845 3 0.3
8085 3 0.6
9186 3 0.6
920 4 0.6
5257 4 0.2
7842 4 0.7
8422 4 0.5
9962 4 0.5
208 5 0.3
984 5 0.6
1631 5 0.8
2009 5 0.2
3096 5 0.6
3185 5 0.3
3349 5 0.7
4344 5 0.6
4691 5 0.2
4923 5 0.3
5114 5 0.1
5217 5 0.4
5788 5 0.2
6168 5 0.3
6592 5 0.8
7072 5 0.3
7682 5 0.5
8023 5 0.4
8025 5 0.2
8026 5 0.1
8077 5 0.2
8363 5 0.7
8529 5 0.1
9758 5 0.6
10036 5 0.3
10043 5 0.5
10050 5 0.7
10737 5 0.6
1397 6 0.3
2010 6 0.5
2351 6 0.7
3348 6 0.9
4591 6 0.4
5117 6 0.3
5216 6 0.3
5259 6 0.3
8084 6 0.9
9858 6 0.6
10048 6 0.3
372 7 0.4
376 7 0.3
796 7 0.6
985 7 0.9
986 7 0.4
1073 7 0.6
1123 7 0.5
1124 7 0.6
1177 7 0.4
1178 7 0.8
1452 7 0.5
1632 7 0.4
2015 7 0.6
2106 7 0.3
2139 7 0.2
2350 7 0.6
2694 7 0.7
3098 7 0.8
