41773 125826
0 37825 0.7
0 17224 0.8
0 6356 0.4
1 18053 0.2
1 31265 0.4
1 28257 0.7
1 41010 0.7
1 19010 0.8
1 10785 0.6
1 41676 0.4
1 5800 0.7
1 1979 0.1
1 11621 0.7
2 4661 0.4
2 35935 0.1
3 22504 0.5
3 27665 0.5
3 13675 0.3
3 9462 0.3
3 20943 0.1
3 5842 0.3
3 36937 0.5
3 10824 0.6
3 13371 0.8
3 5775 0.2
3 39603 0.5
3 35513 0.8
4 35041 0.2
4 16026 0.2
5 17311 0.4
5 886 0.7
5 5112 0.7
5 21465 0.7
5 31989 0.6
5 10076 0.3
5 14587 0.7
5 11388 0.5
5 8650 0.2
6 7640 0.5
7 34808 0.6
7 37314 0.4
7 22280 0.6
7 14353 0.2
7 6950 0.9
7 2759 0.7
7 27931 0.6
7 38148 0.6
7 19949 0.1
7 39987 0.2
8 22889 0.7
8 34909 0.2
9 15747 0.3
9 15691 0.7
10 10338 0.8
10 26732 0.4
10 24103 0.2
10 31127 0.2
10 23917 0.4
10 20276 0.4
10 39527 0.4
10 15609 0.3
10 36093 0.8
10 5090 0.6
10 30778 0.4
10 8486 0.3
10 18950 0.2
10 30882 0.7
10 1991 0.7
10 29687 0.7
10 4360 0.7
10 10972 0.6
10 34750 0.3
10 31807 0.2
10 12657 0.8
10 7670 0.7
10 27741 0.1
10 32176 0.8
10 2821 0.7
11 4125 0.7
11 27819 0.2
11 35406 0.7
12 21484 0.2
12 3308 0.8
12 29938 0.7
14 20407 0.1
14 20243 0.5
14 3099 0.8
14 12199 0.9
14 35966 0.2
14 35945 0.2
15 8827 0.3
15 34585 0.6
20233 20136 0.6
20233 24550 0.5
20233 40536 0.9
20233 40237 0.1
20233 4369 0.7
17 8427 0.6
17 31735 0.8
18 5895 0.7
18 32159 0.3
19 2905 0.2
19 37870 0.1
19 17348 0.2
19 25135 0.2
19 24389 0.7
19 10381 0.2
19 23171 0.5
19 29867 0.5
19 18791 0.7
20 29250 0.7
20 38920 0.7
20 27913 0.6
20 381 0.4
20 23539 0.1
21 32493 0.6
21 41437 0.3
21 19870 0.3
21 25676 0.2
22 9288 0.6
23 32930 0.4
23 8912 0.1
23 32676 0.4
23 13698 0.3
23 40369 0.1
23 39355 0.1
23 35166 0.7
23 30592 0.3
24 37877 0.8
24 29120 0.9
24 32242 0.6
24 655 0.6
24 10225 0.3
24 2184 0.2
24 22610 0.6
24 31584 0.2
24 33623 0.8
24 7887 0.3
24 12825 0.9
24 28455 0.7
25 36326 0.5
25 24294 0.7
25 22834 0.1
25 36506 0.4
25 6474 0.1
26 2014 0.6
26 1558 0.5
26 20071 0.8
26 17291 0.6
28 8718 0.7
28 2668 0.3
28 38583 0.4
28 26106 0.4
28 4021 0.1
28 16651 0.3
28 19031 0.1
28 2357 0.5
28 23468 0.5
28 26219 0.4
28 33620 0.4
29 38307 0.2
29 32834 0.5
29 37150 0.4
30 13669 0.9
30 34490 0.2
30 11987 0.6
30 35382 0.9
20235 41573 0.8
20235 3461 0.7
20235 29635 0.5
32 10105 0.8
32 14408 0.9
32 31112 0.7
32 23942 0.7
174 1464 0.3
174 18421 0.9
18876 26045 0.4
18876 36558 0.8
18876 11004 0.3
18876 14404 0.4
18876 343 0.3
18876 19266 0.4
18876 23893 0.7
18876 4144 0.1
18876 30752 0.7
18876 32452 0.3
18876 32622 0.2
18876 37028 0.3
18876 3643 0.6
18876 35842 0.6
18876 37680 0.7
18876 20102 0.6
18876 38902 0.6
18876 36328 0.6
18876 41637 0.5
35 37789 0.4
36 27445 0.5
36 29229 0.2
36 13612 0.3
36 28090 0.5
36 37657 0.6
36 14264 0.5
37 36200 0.5
38 1670 0.4
38 37785 0.9
38 8888 0.2
38 15461 0.7
38 29525 0.3
39 23513 0.1
39 19188 0.2
39 24425 0.5
39 32804 0.8
39 34445 0.5
39906 35479 0.5
39906 40439 0.8
39906 7639 0.4
39906 30597 0.3
39906 2252 0.5
39906 14114 0.4
39906 2656 0.1
39906 33053 0.2
41 13560 0.8
41 15106 0.4
42 25395 0.2
42 3796 0.8
42 14599 0.7
42 19593 0.2
42 40106 0.6
43 5559 0.1
43 25922 0.2
43 41744 0.2
43 25711 0.2
44 402 0.8
44 18351 0.6
44 16025 0.4
44 11701 0.7
44 28093 0.4
44 37027 0.1
44 39977 0.1
45 751 0.7
45 14039 0.5
45 4447 0.4
45 11926 0.4
45 18950 0.8
45 28464 0.1
45 8397 0.2
45 24637 0.7
46 36404 0.4
46 19576 0.8
46 25422 0.3
46 19439 0.1
46 35387 0.3
46 36518 0.8
47 9825 0.8
47 15203 0.7
47 31131 0.3
47 13796 0.6
47 39820 0.7
47 30668 0.4
47 15574 0.6
47 6730 0.8
47 17892 0.2
48 108 0.6
48 39864 0.2
48 30318 0.9
48 29797 0.1
48 14331 0.5
48 41738 0.7
48 21636 0.9
38267 5393 0.7
38267 25081 0.7
49 10173 0.3
49 12817 0.4
49 22971 0.9
49 40879 0.3
49 8516 0.4
49 6241 0.5
49 34972 0.4
49 35607 0.2
49 24398 0.5
49 20333 0.7
27440 5531 0.2
27440 25025 0.5
27440 19659 0.3
27440 39691 0.3
27440 18374 0.7
27440 2191 0.3
27440 8078 0.8
27440 4402 0.8
27440 37644 0.8
27440 41611 0.4
27440 14409 0.8
27440 29766 0.6
27440 38892 0.5
27440 1128 0.3
27440 16871 0.1
27440 11680 0.8
27440 36120 0.7
27440 31352 0.7
27440 36991 0.7
51 11858 0.7
51 7354 0.2
51 35301 0.2
52 362 0.3
52 21896 0.7
52 19118 0.6
52 5215 0.5
52 16003 0.5
52 24923 0.2
52 1697 0.5
53 28578 0.2
53 38620 0.4
53 10547 0.3
53 10210 0.3
53 31068 0.2
53 30214 0.4
53 25836 0.7
53 40519 0.7
53 35194 0.6
53 31368 0.4
53 4291 0.2
53 32751 0.1
53 40468 0.2
54 33170 0.4
54 18362 0.4
54 7360 0.4
54 41689 0.5
54 18704 0.4
54 28653 0.7
54 36988 0.3
54 3837 0.5
54 7967 0.4
54 32276 0.3
20237 15060 0.4
56 224 0.8
56 18705 0.6
56 33361 0.2
56 33606 0.2
56 6198 0.5
57 15169 0.3
57 5270 0.4
57 39749 0.5
57 34178 0.9
57 34211 0.5
57 25393 0.9
57 41156 0.2
57 26570 0.3
58 2778 0.6
58 30751 0.3
58 15009 0.3
58 35809 0.5
58 32850 0.6
58 35261 0.5
58 2668 0.9
