11565 67114
0 1490 0.4
0 2742 0.4
0 7265 0.3
0 8076 0.3
0 8844 0.2
0 4577 0.8
0 1099 0.7
0 9669 0.6
0 2535 0.4
0 9060 0.2
0 2260 0.4
0 4086 0.3
0 710 0.8
0 10886 0.5
0 8150 0.2
0 2954 0.2
0 469 0.3
0 6012 0.1
0 6469 0.8
0 122 0.5
0 9104 0.4
0 7372 0.7
1 8431 0.4
1 999 0.8
1 4827 0.7
7763 5080 0.2
7763 5363 0.1
7763 567 0.4
7763 3460 0.1
7763 3980 0.2
7763 6774 0.8
7763 4388 0.8
7763 5594 0.5
7763 1067 0.7
7763 162 0.8
7763 6937 0.7
7763 7300 0.4
7763 7498 0.3
7763 2622 0.7
7763 415 0.4
7763 10697 0.7
2 6187 0.9
2 10813 0.4
2 2830 0.2
2 9340 0.7
2 8786 0.7
2 5303 0.1
2 8605 0.4
2 3903 0.3
2 6747 0.5
2 535 0.8
2 7477 0.8
2 5722 0.5
2 1265 0.4
2 7292 0.8
2 10139 0.5
2 4080 0.1
2 9891 0.2
2 6934 0.5
2 10219 0.2
2 4799 0.5
2 2663 0.5
2 6399 0.3
2 4262 0.5
2 2278 0.8
2 5073 0.8
2 6156 0.5
2 550 0.7
2 9717 0.2
2 1970 0.5
2 2129 0.9
2 3740 0.2
2 8436 0.6
2 6322 0.2
2 6582 0.3
2 11024 0.8
2 8016 0.4
2 8669 0.4
2 9100 0.8
2 6952 0.6
2 1808 0.3
2 4093 0.4
2 6222 0.6
2 749 0.4
2 6603 0.7
2 5487 0.8
2 2469 0.8
2 8826 0.6
2 3084 0.7
2 5880 0.5
2 3397 0.2
2 2150 0.8
2 3582 0.3
2 5664 0.4
2 3108 0.3
2 6232 0.7
2 52 0.8
2 5269 0.9
2 940 0.3
2 3760 0.1
2 6297 0.2
2 1493 0.8
2 57 0.2
2 4999 0.4
2 6327 0.7
2 3070 0.6
2 1134 0.9
2 6974 0.3
2 1684 0.2
2 4128 0.9
2 7778 0.4
2 733 0.2
2 9214 0.6
2 9887 0.7
2 9948 0.7
2 6978 0.6
2 6980 0.3
2 8382 0.1
2 5696 0.3
2 6451 0.2
2 4855 0.7
2 7312 0.3
2 7681 0.6
2 5706 0.1
2 11060 0.7
2 3403 0.4
2 4862 0.3
2 6276 0.5
2 7326 0.2
2 1522 0.4
2 3270 0.3
2 11411 0.7
2 8687 0.8
2 79 0.3
2 6641 0.7
2 6007 0.8
2 8787 0.6
2 621 0.4
2 5840 0.6
2 1700 0.2
2 1358 0.3
2 881 0.6
2 1536 0.5
2 7012 0.9
2 7933 0.6
2 1868 0.9
2 5733 0.2
2 7195 0.6
2 1175 0.6
2 9429 0.9
2 1710 0.2
2 6485 0.8
2 7204 0.8
2 2755 0.2
2 2212 0.7
2 2213 0.6
2 1011 0.6
2 1376 0.5
2 3645 0.8
2 330 0.5
2 6692 0.8
2 6115 0.7
2 4353 0.3
2 1381 0.5
2 10917 0.2
2 8142 0.2
2 1565 0.7
2 8340 0.1
2 7482 0.1
2 1024 0.8
2 10755 0.7
2 290 0.5
2 10847 0.8
2 10549 0.3
2 851 0.8
2 8909 0.5
2 7158 0.8
2 8910 0.4
2 2591 0.4
2 5051 0.7
2 854 0.4
2 9663 0.7
2 4023 0.6
2 1528 0.6
2 8166 0.6
2 2238 0.9
2 4352 0.6
2 6639 0.1
2 8169 0.4
2 8460 0.8
2 10442 0.6
2 1218 0.3
2 7050 0.8
2 7237 0.8
2 2941 0.8
2 1589 0.4
2 7990 0.5
2 9653 0.3
2 8926 0.7
2 4572 0.1
2 2075 0.8
2 10574 0.4
2 8342 0.2
2 10576 0.2
2 5807 0.8
2 2802 0.7
2 7685 0.6
2 7258 0.5
2 2620 0.4
2 10648 0.7
2 7955 0.7
2 11178 0.6
2 5809 0.5
2 501 0.7
2 3343 0.5
2 503 0.4
2 4933 0.1
2 9131 0.8
2 6360 0.9
2 11160 0.4
2 10794 0.7
2 3173 0.8
2 9954 0.5
2 510 0.8
2 10716 0.6
2 11546 0.8
2 8111 0.2
2 11362 0.2
2 1935 0.3
2 6657 0.1
2 1717 0.2
2 8573 0.2
2 3354 0.2
2 6546 0.4
2 2821 0.1
2 1250 0.2
2 6180 0.6
2 8009 0.5
2 1408 0.9
2 9690 0.5
2 6015 0.7
2 10064 0.6
2 4600 0.4
2 2826 0.5
2 2646 0.6
2 11549 0.7
2 7666 0.7
2 9498 0.2
3 523 0.3
3 10356 0.8
3 10862 0.4
3 10231 0.2
3 1211 0.2
3 11523 0.6
4 10725 0.2
4 9786 0.4
4 5040 0.8
4 10338 0.9
4 11491 0.3
4 8388 0.3
4 10989 0.5
4 4926 0.5
4 1173 0.2
4 7197 0.2
4 11148 0.4
4 314 0.2
4 7115 0.4
4 4004 0.9
4 1271 0.5
4 7122 0.3
4 1276 0.5
4 7214 0.6
4 2792 0.4
4 558 0.5
4 10595 0.2
4 10305 0.7
4 1467 0.2
4 653 0.3
4 4403 0.8
4 9352 0.2
4 464 0.7
4 3657 0.3
4 3184 0.6
4 3359 0.3
4 4733 0.4
4 5276 0.1
4 10226 0.2
4 4107 0.4
4 1253 0.1
5 872 0.4
5 7548 0.8
6 8601 0.4
6 9717 0.5
6 3397 0.3
6 6056 0.3
6 491 0.6
6 3408 0.5
6 11043 0.1
6 6460 0.4
6 5638 0.7
6 6400 0.7
6 9948 0.2
6 6307 0.7
6 4917 0.8
6 7172 0.8
6 10442 0.8
6 9383 0.4
6 6623 0.7
6 4354 0.2
6 10490 0.3
6 3742 0.6
6 9443 0.3
6 9092 0.1
6 7912 0.2
6 8386 0.7
6 1341 0.8
6 8392 0.8
6 8903 0.8
6 2099 0.3
6 4093 0.8
6 10501 0.4
6 6910 0.8
6 10881 0.8
6 854 0.2
7 921 0.7
7 7691 0.1
7 8280 0.7
7 3220 0.4
7 7597 0.4
7 5935 0.1
7 9963 0.8
8 191 0.5
9 2480 0.7
9 7714 0.3
9 4454 0.1
9 3341 0.3
9 5129 0.5
9 230 0.7
10 553 0.2
9570 9345 0.3
9570 1239 0.6
9570 8679 0.4
12 10641 0.3
13 1518 0.7
