1000 100000
50 227 0.4
344 405 0.8
96 241 0.3
260 706 0.6
219 427 0.2
108 925 0.4
304 868 0.1
195 338 0.9
241 868 0.2
422 731 0.7
167 547 0.7
264 701 0.6
568 724 0.5
269 749 0.2
783 996 0.9
334 764 0.3
28 951 0.2
100 328 0.5
28 188 0.6
436 588 0.2
718 934 0.8
645 833 0.6
309 533 0.4
13 920 0.4
341 745 0.7
246 348 0.2
486 636 0.3
659 910 0.4
143 634 0.4
28 949 0.2
188 951 0.4
325 959 0.8
394 445 0.2
274 437 0.7
705 815 0.3
711 721 0.2
94 242 0.8
431 723 0.8
337 453 0.8
638 648 0.3
81 116 0.4
605 663 0.7
224 265 0.6
335 674 0.1
237 484 0.8
433 951 0.5
124 275 0.6
183 460 0.9
699 983 0.3
555 561 0.3
408 889 0.4
96 868 0.3
76 327 0.6
27 626 0.4
391 848 0.7
410 468 0.5
818 932 0.2
132 424 0.6
400 831 0.2
146 305 0.3
284 698 0.6
533 628 0.9
74 231 0.7
67 870 0.4
524 734 0.4
245 433 0.2
307 320 0.4
188 949 0.4
777 829 0.3
282 976 0.3
24 66 0.6
743 792 0.9
479 888 0.2
44 387 0.5
833 948 0.7
241 304 0.4
172 424 0.5
22 884 0.9
867 955 0.2
283 694 0.2
60 658 0.1
354 593 0.6
375 390 0.5
618 968 0.3
639 757 0.5
576 929 0.8
2 60 0.2
50 331 0.4
123 539 0.5
401 777 0.6
456 670 0.1
48 856 0.7
66 767 0.8
810 902 0.7
689 869 0.7
125 192 0.2
611 661 0.1
295 655 0.6
318 822 0.3
80 99 0.7
307 689 0.7
213 587 0.9
443 689 0.3
227 331 0.2
271 634 0.4
229 594 0.9
457 739 0.1
196 737 0.8
129 522 0.7
590 747 0.1
353 567 0.2
142 303 0.1
136 558 0.3
112 908 0.9
949 951 0.6
601 679 0.9
54 528 0.8
6 708 0.4
80 579 0.5
387 700 0.7
446 956 0.5
227 384 0.5
313 691 0.5
41 530 0.3
787 859 0.5
139 892 0.8
416 732 0.7
24 767 0.6
695 902 0.4
664 786 0.1
44 700 0.8
17 185 0.3
50 384 0.8
641 915 0.1
567 673 0.2
759 926 0.4
659 879 0.1
640 810 0.3
11 570 0.8
54 69 0.7
268 836 0.6
541 573 0.2
772 911 0.4
679 775 0.7
296 664 0.2
42 474 0.8
108 558 0.3
752 891 0.9
725 789 0.4
115 802 0.5
39 804 0.4
105 897 0.8
281 621 0.5
42 136 0.5
94 386 0.5
244 890 0.5
322 756 0.6
489 735 0.2
419 614 0.6
13 940 0.3
102 248 0.5
1 150 0.2
180 862 0.4
356 966 0.9
781 849 0.4
78 477 0.6
349 896 0.3
10 106 0.4
170 511 0.1
131 329 0.8
299 729 0.2
177 209 0.1
18 876 0.3
104 239 0.2
16 311 0.9
88 672 0.1
112 528 0.9
667 790 0.8
34 247 0.5
354 798 0.8
72 898 0.8
272 988 0.3
393 572 0.4
99 579 0.8
952 974 0.8
642 938 0.2
103 225 0.4
375 672 0.9
218 927 0.8
536 539 0.2
176 355 0.6
692 975 0.8
498 668 0.4
879 910 0.7
174 249 0.4
96 304 0.7
211 317 0.2
467 532 0.4
387 435 0.8
418 452 0.2
465 606 0.9
92 446 0.4
217 865 0.7
623 761 0.5
383 622 0.4
550 596 0.9
221 805 0.6
88 375 0.8
619 681 0.2
366 397 0.4
506 953 0.3
643 724 0.5
47 803 0.6
248 694 0.7
99 897 0.8
184 710 0.9
320 689 0.7
184 911 0.2
230 756 0.2
201 823 0.2
165 222 0.6
134 656 0.6
227 339 0.8
167 734 0.2
714 795 0.9
581 924 0.2
82 352 0.3
849 977 0.6
219 616 0.8
72 460 0.3
0 774 0.3
367 825 0.1
513 534 0.1
28 433 0.2
36 115 0.2
198 839 0.8
135 335 0.1
601 775 0.6
164 715 0.6
307 479 0.7
504 629 0.8
15 721 0.8
403 993 0.9
421 739 0.5
221 564 0.8
740 914 0.3
116 243 0.2
547 734 0.6
346 836 0.2
355 649 0.5
80 897 0.5
76 290 0.7
733 912 0.7
50 339 0.9
29 810 0.6
490 607 0.4
148 765 0.3
267 686 0.5
32 83 0.5
113 641 0.5
292 821 0.7
71 967 0.8
264 946 0.4
443 869 0.9
26 901 0.6
149 569 0.6
153 462 0.7
25 460 0.7
46 666 0.8
25 612 0.8
598 940 0.5
53 537 0.1
182 624 0.5
99 580 0.7
266 865 0.8
371 517 0.8
558 925 0.7
173 603 0.2
132 172 0.6
806 930 0.7
709 930 0.7
32 245 0.7
71 556 0.7
2 410 0.7
279 280 0.8
695 810 0.9
322 430 0.7
15 711 0.3
213 591 0.5
136 474 0.7
779 809 0.8
635 783 0.5
528 778 0.6
138 819 0.2
773 944 0.1
108 136 0.7
657 829 0.6
688 706 0.3
486 716 0.4
153 424 0.5
68 994 0.5
181 848 0.4
40 666 0.8
345 382 0.2
349 850 0.9
29 695 0.9
48 86 0.9
888 982 0.6
245 802 0.7
188 433 0.6
28 162 0.5
165 658 0.7
567 660 0.3
113 915 0.3
32 433 0.4
143 271 0.1
923 926 0.2
220 950 0.1
648 676 0.2
107 808 0.4
504 566 0.4
77 987 0.3
164 567 0.3
89 298 0.6
132 153 0.7
164 353 0.3
524 933 0.9
710 911 0.7
254 279 0.8
309 628 0.9
248 283 0.1
407 569 0.5
796 855 0.7
6 540 0.2
135 674 0.2
708 886 0.2
402 789 0.1
303 593 0.7
427 616 0.1
859 870 0.2
527 823 0.9
734 933 0.6
482 817 0.2
42 558 0.8
612 898 0.8
41 803 0.6
175 316 0.1
67 657 0.9
130 142 0.2
121 140 0.2
162 188 0.9
158 434 0.3
610 995 0.2
256 342 0.8
160 544 0.3
136 578 0.1
249 528 0.6
889 980 0.7
209 914 0.6
331 384 0.5
286 511 0.6
579 897 0.1
493 950 0.5
2 658 0.5
409 450 0.3
481 526 0.8
73 274 0.2
488 584 0.7
532 835 0.7
341 762 0.7
260 688 0.4
600 614 0.3
151 388 0.8
597 637 0.7
218 741 0.5
9 711 0.4
376 748 0.7
52 603 0.6
