11204 117619
857 1 0.4
862 2 0.1
3406 2 0.2
9538 2 0.2
845 3 0.6
876 3 0.3
1190 3 0.6
3986 3 0.4
8935 3 0.2
10276 3 0.6
33 4 0.6
584 4 0.4
1012 4 0.7
1234 4 0.4
1550 4 0.4
1830 4 0.1
1933 4 0.3
2268 4 0.2
2488 4 0.3
2513 4 0.3
2648 4 0.7
2792 4 0.8
3013 4 0.5
3077 4 0.5
3107 4 0.6
3354 4 0.4
3435 4 0.3
3459 4 0.6
3550 4 0.7
3765 4 0.3
3774 4 0.4
3816 4 0.7
3881 4 0.4
4120 4 0.2
4203 4 0.8
4204 4 0.3
4267 4 0.3
4696 4 0.4
4827 4 0.6
4881 4 0.4
5084 4 0.6
5657 4 0.1
6403 4 0.5
6489 4 0.3
6568 4 0.3
6570 4 0.3
6962 4 0.9
7058 4 0.4
7221 4 0.5
7228 4 0.8
7660 4 0.9
7696 4 0.5
7804 4 0.6
7948 4 0.4
8154 4 0.7
8313 4 0.8
8662 4 0.4
8703 4 0.1
8913 4 0.4
9174 4 0.7
9329 4 0.9
9381 4 0.7
9803 4 0.3
10053 4 0.9
10334 4 0.3
10337 4 0.3
10432 4 0.1
10466 4 0.3
10529 4 0.3
10589 4 0.2
10726 4 0.6
11161 4 0.2
4573 5 0.5
126 6 0.4
515 6 0.6
821 6 0.3
1064 6 0.7
6835 6 0.6
8989 6 0.5
9314 6 0.5
10624 6 0.6
10678 6 0.3
4972 7 0.5
7874 7 0.6
9616 7 0.8
154 8 0.2
127 9 0.7
212 9 0.8
219 9 0.3
473 9 0.8
722 9 0.3
780 9 0.9
897 9 0.3
938 9 0.2
1129 9 0.3
1131 9 0.2
1177 9 0.1
1484 9 0.5
1828 9 0.2
1937 9 0.4
2016 9 0.2
2071 9 0.4
3116 9 0.5
3597 9 0.6
3855 9 0.1
3886 9 0.3
3895 9 0.4
4551 9 0.8
5538 9 0.6
5746 9 0.9
5780 9 0.7
6066 9 0.4
6128 9 0.7
6314 9 0.8
6335 9 0.6
6375 9 0.4
6652 9 0.6
7528 9 0.2
7754 9 0.7
8168 9 0.9
8336 9 0.6
8512 9 0.5
8774 9 0.5
9169 9 0.5
9386 9 0.7
9758 9 0.3
10345 9 0.6
10631 9 0.8
11139 9 0.1
2976 10 0.8
7463 10 0.1
7938 10 0.9
9082 10 0.6
10168 10 0.5
12 11 0.3
6499 11 0.3
6731 11 0.5
7391 11 0.8
6499 12 0.3
7391 12 0.3
1153 13 0.6
2196 13 0.8
8189 13 0.4
1153 14 0.8
2174 14 0.8
2196 14 0.2
8189 14 0.4
1364 15 0.9
3415 15 0.5
4908 15 0.5
6006 15 0.2
8999 15 0.7
9481 15 0.4
10616 15 0.5
861 16 0.3
890 16 0.8
2528 16 0.4
3963 16 0.4
4447 16 0.4
5118 16 0.4
5743 16 0.4
6791 16 0.2
91 17 0.5
4761 17 0.5
6502 17 0.3
253 18 0.5
337 18 0.9
507 18 0.3
1619 18 0.5
1683 18 0.4
1734 18 0.2
1820 18 0.7
2059 18 0.6
2093 18 0.8
2135 18 0.1
2330 18 0.4
2332 18 0.5
2356 18 0.2
2416 18 0.5
2421 18 0.2
2440 18 0.1
3148 18 0.4
3194 18 0.3
3288 18 0.3
3419 18 0.3
3851 18 0.3
4170 18 0.6
4221 18 0.5
4611 18 0.5
4748 18 0.5
4813 18 0.5
4990 18 0.8
5088 18 0.2
5117 18 0.4
5235 18 0.8
5250 18 0.9
5253 18 0.8
6081 18 0.5
6184 18 0.3
6250 18 0.8
6271 18 0.3
6563 18 0.4
6576 18 0.6
6678 18 0.8
6759 18 0.4
6867 18 0.4
7087 18 0.6
7301 18 0.7
7559 18 0.6
7613 18 0.9
7813 18 0.2
8012 18 0.4
8242 18 0.6
8262 18 0.6
8434 18 0.6
8478 18 0.3
8702 18 0.8
8999 18 0.7
9452 18 0.2
9541 18 0.5
9857 18 0.5
10445 18 0.8
10451 18 0.6
10634 18 0.2
10660 18 0.5
10796 18 0.5
154 19 0.3
1825 19 0.1
154 20 0.8
2968 21 0.3
3769 21 0.6
4230 21 0.2
6391 21 0.8
6732 21 0.5
7962 21 0.8
154 22 0.4
6607 23 0.8
10891 23 0.4
154 24 0.6
3785 25 0.4
4303 25 0.4
6138 25 0.6
6146 25 0.3
6147 25 0.6
214 26 0.7
523 26 0.2
597 26 0.8
794 26 0.5
1911 26 0.5
2101 26 0.1
2332 26 0.7
2637 26 0.1
2900 26 0.9
2907 26 0.5
4173 26 0.9
4741 26 0.2
4808 26 0.2
4871 26 0.3
4951 26 0.9
5451 26 0.2
7995 26 0.6
8009 26 0.7
8656 26 0.4
8701 26 0.9
8753 26 0.6
8990 26 0.2
10692 26 0.8
10697 26 0.4
2347 27 0.6
10921 27 0.5
643 28 0.8
1880 28 0.1
4968 28 0.1
5613 28 0.9
5616 28 0.2
1351 29 0.4
8590 29 0.1
9528 29 0.3
1986 30 0.5
3533 30 0.4
4560 30 0.5
5364 30 0.9
7158 30 0.9
8905 30 0.5
10686 30 0.5
10918 30 0.8
10990 30 0.2
1189 31 0.6
2777 31 0.6
6671 31 0.4
10136 31 0.5
10806 31 0.9
2885 32 0.1
3594 32 0.3
5572 32 0.8
9606 32 0.3
458 33 0.1
1234 33 0.2
1830 33 0.7
1933 33 0.3
2210 33 0.8
2648 33 0.1
2804 33 0.6
3107 33 0.8
3459 33 0.8
3550 33 0.4
3765 33 0.6
3774 33 0.8
4120 33 0.4
4203 33 0.4
5657 33 0.3
6403 33 0.5
6568 33 0.3
6570 33 0.6
6962 33 0.8
7058 33 0.9
7221 33 0.4
8154 33 0.7
8703 33 0.5
8913 33 0.4
9174 33 0.4
9381 33 0.4
10024 33 0.6
10268 33 0.6
10432 33 0.5
10529 33 0.5
11161 33 0.8
69 34 0.1
546 34 0.3
598 34 0.3
843 34 0.3
1001 34 0.5
1106 34 0.2
1111 34 0.5
2733 34 0.5
3700 34 0.6
4088 34 0.1
4350 34 0.1
5462 34 0.8
7437 34 0.5
8008 34 0.7
8239 34 0.8
9332 34 0.4
9582 34 0.8
10752 34 0.9
10824 34 0.4
2834 35 0.3
1282 36 0.8
2633 36 0.7
8234 36 0.7
9551 36 0.9
10085 36 0.1
3782 37 0.4
4295 37 0.4
912 38 0.2
3167 38 0.5
255 39 0.6
1282 39 0.1
7747 39 0.7
8383 39 0.7
10198 39 0.8
10098 40 0.4
154 41 0.3
317 41 0.3
329 41 0.6
393 41 0.3
408 41 0.3
507 41 0.8
511 41 0.5
559 41 0.5
565 41 0.6
608 41 0.4
736 41 0.1
777 41 0.7
805 41 0.2
867 41 0.8
918 41 0.7
933 41 0.2
1017 41 0.6
1076 41 0.9
1342 41 0.2
1428 41 0.7
1461 41 0.6
1468 41 0.7
1616 41 0.1
1867 41 0.7
1947 41 0.8
1998 41 0.6
2138 41 0.2
2204 41 0.7
2232 41 0.3
2239 41 0.2
2254 41 0.4
2338 41 0.6
2356 41 0.9
2366 41 0.6
2375 41 0.7
2408 41 0.2
2440 41 0.9
2448 41 0.2
2465 41 0.9
2521 41 0.6
2567 41 0.2
2568 41 0.6
2587 41 0.6
2618 41 0.7
2689 41 0.2
2843 41 0.4
